Número de inserções: 2000
Buscado com sucesso [10]
Buscado com sucesso [19]
Buscado com sucesso [64]
Buscado com sucesso [14]
Buscado com sucesso [25]
Buscado com sucesso [17]
Buscado com sucesso [42]
Buscado com sucesso [25]
Buscado com sucesso [11]
Buscado com sucesso [24]
Buscado com sucesso [18]
Buscado com sucesso [13]
Buscado com sucesso [22]
Buscado com sucesso [25]
Buscado com sucesso [42]
Buscado com sucesso [31]
Buscado com sucesso [16]
Buscado com sucesso [24]
Buscado com sucesso [27]
Buscado com sucesso [19]
Buscado com sucesso [41]
Buscado com sucesso [14]
Buscado com sucesso [29]
Buscado com sucesso [14]
Buscado com sucesso [20]
Buscado com sucesso [21]
Buscado com sucesso [12]
Buscado com sucesso [17]
Buscado com sucesso [14]
Buscado com sucesso [17]
Buscado com sucesso [30]
Buscado com sucesso [12]
Buscado com sucesso [15]
Buscado com sucesso [29]
Buscado com sucesso [18]
Buscado com sucesso [26]
Buscado com sucesso [28]
Buscado com sucesso [82]
Buscado com sucesso [21]
Buscado com sucesso [18]
Buscado com sucesso [28]
Buscado com sucesso [36]
Buscado com sucesso [34]
Buscado com sucesso [28]
Buscado com sucesso [14]
Buscado com sucesso [49]
Buscado com sucesso [12]
Buscado com sucesso [66]
Buscado com sucesso [12]
Buscado com sucesso [14]
Buscado com sucesso [26]
Buscado com sucesso [15]
Buscado com sucesso [25]
Buscado com sucesso [23]
Buscado com sucesso [47]
Buscado com sucesso [57]
Buscado com sucesso [86]
Buscado com sucesso [13]
Buscado com sucesso [22]
Buscado com sucesso [18]
Buscado com sucesso [37]
Buscado com sucesso [27]
Buscado com sucesso [16]
Buscado com sucesso [17]
Buscado com sucesso [11]
Buscado com sucesso [27]
Buscado com sucesso [20]
Buscado com sucesso [63]
Buscado com sucesso [19]
Buscado com sucesso [96]
Buscado com sucesso [18]
Buscado com sucesso [20]
Buscado com sucesso [29]
Buscado com sucesso [20]
Buscado com sucesso [18]
Buscado com sucesso [11]
Buscado com sucesso [10]
Buscado com sucesso [14]
Buscado com sucesso [23]
Buscado com sucesso [27]
Buscado com sucesso [15]
Buscado com sucesso [23]
Buscado com sucesso [29]
Buscado com sucesso [26]
Buscado com sucesso [11]
Buscado com sucesso [72]
Buscado com sucesso [19]

Número de remoções: 9
Removido com sucesso [27]
Removido com sucesso [16]
Removido com sucesso [22]
Removido com sucesso [39]
Removido com sucesso [69]
Removido com sucesso [32]
Removido com sucesso [30]
Removido com sucesso [15]
Removido com sucesso [14]
